,time/s,Battery Power Output (MW)
932,92.92471969,-0.000538066
933,93.02252767,-0.01017482
934,93.04130534,-0.125259798
935,93.06008301,-0.211529178
936,93.12035598,-0.343822423
937,93.18157737,-0.383960243
938,93.25931336,-0.397116584
939,93.35637646,-0.400157086
940,93.4847664,-0.400630096
941,93.66017115,-0.400554761
942,93.87761775,-0.399415468
943,93.98292528,-0.400559481
944,94.03634694,-0.305786188
945,94.07532027,-0.144099737
946,94.1142936,-0.066104963
947,94.18089192,-0.017634884
948,94.25581202,-0.004046441
949,94.3523356,-0.000709568
950,94.4784284,-0.000176642
951,94.65093842,-0.00022929
952,94.86773657,-0.001263224
953,94.98649674,-0.000262382
954,95.01504453,-0.019011477
955,95.04359232,-0.095195302
956,95.07756024,-0.147063537
957,95.14899844,-0.187386059
958,95.22670729,-0.197551803
959,95.32890888,-0.199907334
960,95.4632401,-0.200242164
961,95.64704502,-0.200094786
962,95.86607448,-0.198600839
963,96.00056653,-0.199819027
964,96.13505858,-0.200212763
965,96.31287857,-0.200106078
966,96.52584453,-0.198951952
967,96.66596681,-0.199831308
968,96.80608908,-0.200176953
969,96.98356745,-0.200054139
970,97.04336319,-0.230369388
971,97.10315893,-0.278901197
972,97.15819535,-0.293365039
973,97.25328246,-0.299321801
974,97.36573436,-0.300362895
975,97.52148488,-0.300434231
976,97.72923719,-0.299900505
977,97.88767113,-0.300058472
978,98.00960286,-0.295439927
979,98.03114062,-0.231782549
980,98.05267839,-0.185731464
981,98.12226144,-0.121787077
982,98.19313898,-0.105521389
983,98.28632661,-0.101154177
984,98.40618935,-0.100403272
985,98.5699494,-0.100391888
986,98.78271839,-0.101136199
987,98.93317853,-0.100738294
988,99.08363868,-0.10050958
989,99.26116555,-0.100680028
990,99.4540266,-0.101454247
991,99.62803577,-0.101917609
992,99.77431045,-0.101045079
993,99.91568899,-0.100547738
994,100.0216015,-0.102202044
995,100.0416807,-0.195136855
996,100.06176,-0.263158393
997,100.1255377,-0.36206738
998,100.1904796,-0.390140233
999,100.2740366,-0.398668945
1000,100.3796072,-0.400428619
1001,100.5213753,-0.400646056
1002,100.7141839,-0.40039567
1003,100.9321566,-0.398486614
1004,101.0615149,-0.452180501
1005,101.0863674,-0.507692211
1006,101.1112199,-0.544317522
1007,101.1853523,-0.587970117
1008,101.2617979,-0.598244158
1009,101.3638271,-0.600690086
1010,101.4971788,-0.601042986
1011,101.679809,-0.600907039
1012,101.8988767,-0.599463136
1013,102.0093151,-0.595997187
1014,102.0305022,-0.533178454
1015,102.0516893,-0.487454767
1016,102.1212255,-0.422690328
1017,102.1919228,-0.40621471
1018,102.2848738,-0.401773759
1019,102.4043606,-0.401006685
1020,102.5675673,-0.400991261
1021,102.7799969,-0.401719061
1022,102.9309889,-0.401339544
1023,103.0453076,-0.366625847
1024,103.0688191,-0.30747142
1025,103.0923307,-0.267305147
1026,103.1646274,-0.21647652
1027,103.2388094,-0.204137022
1028,103.3372308,-0.201050843
1029,103.4650553,-0.2005709
1030,103.6402723,-0.200643991
1031,103.858119,-0.201782561
1032,103.9986895,-0.200952712
1033,104.1392601,-0.200621249
1034,104.3177678,-0.200754759
1035,104.5239261,-0.201814975
1036,104.6655066,-0.200986575
1037,104.8070872,-0.200643439
1038,104.9832877,-0.200760001
1039,105.1859958,-0.201689543
1040,105.330223,-0.200988646
1041,105.4744503,-0.20066894
1042,105.6500218,-0.200789012
1043,105.8488438,-0.201632142
1044,106.0293366,-0.195202543
1045,106.0531414,-0.125731572
1046,106.0769461,-0.078105544
1047,106.1469259,-0.019569868
1048,106.219065,-0.004715492
1049,106.313942,-0.000834867
1050,106.4364812,-0.000189129
1051,106.6041464,-0.000206023
1052,106.8190582,-0.001073391
1053,106.965913,-0.000539459
1054,107.1127679,-0.000271119
1055,107.2908768,-0.000429272
1056,107.488757,-0.001321084
1057,107.6658154,-0.00201586
1058,107.8101278,-0.000922391
1059,107.9473343,-0.000327126
1060,108.0550188,-0.051601378
1061,108.103759,-0.141668018
1062,108.1524993,-0.178220257
1063,108.2310985,-0.195615446
1064,108.3228586,-0.199532443
1065,108.445508,-0.200203544
1066,108.6118384,-0.200196157
1067,108.8252403,-0.199381551
1068,108.9458183,-0.200180482
1069,109.0393635,-0.133885559
1070,109.0591613,-0.030190807
1071,109.0661773,-3.63E-12
1072,109.0661773,0
1073,109.0859751,0
1074,109.1056851,0
1075,109.1451929,0
1076,109.2160478,0
1077,109.2955406,0
1078,109.3995502,0
1079,109.5370656,0
1080,109.7248427,0
1081,109.9436988,0
